,Location,Price,Apt Type,Num of Bath,Neighborhood,District
3753,Christopher Street,"6,900",1 Bed,1,West Village, Downtown Manhattan
3754,Waverly Place,"3,100",Studio,1,Greenwich Village, Downtown Manhattan
3755,Broad Street,"3,387",Studio,1,Financial District, Downtown Manhattan
3756,516 East 11th Street,"1,250",Private Room,1,"Alphabet City, East Village", Downtown Manhattan
3757,East 1st Street,"2,499",Studio,1,East Village, Downtown Manhattan
3758,East 7th Street,"2,900",1 Bed,1,East Village, Downtown Manhattan
3759,224 w 124th,"3,818",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
3760,"326 East 35th Street, Apt 65","3,995",2 Bed,1,Murray Hill, Midtown Manhattan
3761,West 87th Street,"8,650","2 Bed
/ Flex 4",2,Upper West Side, Upper Manhattan
3762,West 56th Street,"4,760",Studio,1,"Theater District, Midtown", Midtown Manhattan
3763,East 1st Street,"2,499",Studio,1,East Village, Downtown Manhattan
3764,East 7th Street,"2,900",1 Bed,1,East Village, Downtown Manhattan
3765,224 w 124th,"3,818",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
3766,"326 East 35th Street, Apt 65","3,995",2 Bed,1,Murray Hill, Midtown Manhattan
3767,West 87th Street,"8,650","2 Bed
/ Flex 4",2,Upper West Side, Upper Manhattan
3768,Exchange Place,"4,125",1 Bed,1,Financial District, Downtown Manhattan
3769,West 91st Street,"3,600",1 Bed,1,Upper West Side, Upper Manhattan
3770,John Street,"5,950","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
3771,East 11th Street,"2,800",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3772,Lexington Avenue,"2,795",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
3773,William Street,"4,251",1 Bed,1,Financial District, Downtown Manhattan
3774,East 29th Street,"4,195",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3775,East 8th St & Ave B,"4,150",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3776,Prince Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
3777,Prince Street,"4,195",1 Bed,1,NoLita, Downtown Manhattan
3778,Midtown West,"7,271","2 Bed
/ Flex 3",1,Midtown South, Midtown Manhattan
3779,"401 E 34th St, Apt S08E","4,275",1 Bed,1,Murray Hill, Midtown Manhattan
3780,334 East 90th Street,"2,875",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3781,West 26th Street,"3,995",Studio,1,Chelsea, Midtown Manhattan
3782,Central Park South,"4,600",Studio,1,"Theater District, Midtown", Midtown Manhattan
3783,York Avenue,"3,695",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3784,East 49 street,"3,950",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3785,East 68 Street,"4,795",1 Bed,1,Upper East Side, Upper Manhattan
3786,East 49th Street,"4,275",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3787,East 25th Street,"3,895",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3788,6th Avenue,"4,723",1 Bed,1,NoMad, Midtown Manhattan
3789,Gold Street,"6,495",2 Bed,2,Financial District, Downtown Manhattan
3790,26th Street,"4,895",1 Bed,1,Chelsea, Midtown Manhattan
3791,6th Avenue,"5,148",1 Bed,1,NoMad, Midtown Manhattan
3792,West 187th Street,"2,300",2 Bed,1,"Fort George, Washington Heights", Upper Manhattan
3793,West 50th Street,"3,581",Studio,1,"Theater District, Midtown", Midtown Manhattan
3794,West 37th Street,"6,351",1 Bed,1,Midtown South, Midtown Manhattan
3795,West 54th Street,"3,484",Studio,1,Hell's Kitchen, Midtown Manhattan
3796,West 29th and 11th Ave,"7,095",2 Bed,1,"West Chelsea, Chelsea", Midtown Manhattan
3797,"246 West 22nd Street, Apt 10","2,850",1 Bed,1,Chelsea, Midtown Manhattan
3798,West 16th Street,"4,995",2 Bed,1.5,Chelsea, Midtown Manhattan
3799,42nd Street,"20,000",2 Bed,3.5,Hell's Kitchen, Midtown Manhattan
3800,Avenue A,"4,295",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3801,Mott street,"2,900",1 Bed,1,Little Italy, Downtown Manhattan
3802,Prince Street,"5,495",2 Bed,1,NoLita, Downtown Manhattan
3803,East 83rd Street,"3,976",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3804,East 95th Street,"3,795","1 Bed
/ Flex 2",1,"Yorkville, Upper East Side", Upper Manhattan
3805,Wall Street & Wiliam St,"6,700",2 Bed,2,Financial District, Downtown Manhattan
3806,East 25th Street,"4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3807,West 24th Street,"7,738",2 Bed,2,Chelsea, Midtown Manhattan
3808,West 51st Street,"7,495",4 Bed,2,Hell's Kitchen, Midtown Manhattan
3809,East 34th Street,"3,950",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3810,East 95th Street,"3,135",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3811,East 31st Street,"3,635",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
3812,Fifth Avenue,"5,056",1 Bed,1,Midtown South, Midtown Manhattan
3813,East 79th Street and York Aven...,"2,300",Studio,1,Upper East Side, Upper Manhattan
3814,"70 Pine Street, Apt 2102","6,065",2 Bed,2,Financial District, Downtown Manhattan
3815,East 54th Street,"9,340",2 Bed,2,"Sutton Place, Midtown East", Midtown Manhattan
3816,East 80 Street,"2,750",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3817,East 26th Street,"6,495",3 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3818,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
3819,Water St.,"3,112","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
3820,East 3 Street,"3,399",1 Bed,1,Bowery, Downtown Manhattan
3821,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
3822,Greenwich street,"5,695","2 Bed
/ Flex 3",1.5,Tribeca, Downtown Manhattan
3823,East 51st Street & 3rd Ave,"3,850",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3824,"37 Wall St, Apt 25B","6,700",2 Bed,2,Financial District, Downtown Manhattan
3825,Peck Slip,"6,371",2 Bed,2,Financial District, Downtown Manhattan
3826,East 26th Street,"6,495",3 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3827,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
3828,East 68 Street,"4,795",1 Bed,1,Upper East Side, Upper Manhattan
3829,Water St.,"3,112","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
3830,East 3 Street,"3,399",1 Bed,1,Bowery, Downtown Manhattan
3831,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
3832,Greenwich street,"5,695","2 Bed
/ Flex 3",1.5,Tribeca, Downtown Manhattan
3833,East 51st Street & 3rd Ave,"3,850",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3834,East 13th Street,"4,295",2 Bed,1,East Village, Downtown Manhattan
3835,E 10th St.,"5,195",2 Bed,1,East Village, Downtown Manhattan
3836,Maiden Lane,"4,050",Studio,1,Financial District, Downtown Manhattan
3837,East 48th Street,"5,995",2 Bed,1.5,"Turtle Bay, Midtown East", Midtown Manhattan
3838,23rd Street & 7th Avenue,"3,800",1 Bed,1,Chelsea, Midtown Manhattan
3839,6th Avenue,"5,148",1 Bed,1,NoMad, Midtown Manhattan
3840,East 3 Street,"3,399",1 Bed,1,Bowery, Downtown Manhattan
3841,31 Saint Marks Place,"2,025",Private Room,1,East Village, Downtown Manhattan
3842,29th Street,"7,693",2 Bed,2,NoMad, Midtown Manhattan
3843,East 57th Street,"6,500",2 Bed,2,"Sutton Place, Midtown East", Midtown Manhattan
3844,West 102nd Street,"4,850",2 Bed,1,Upper West Side, Upper Manhattan
3845,East 54th Street,"4,031",1 Bed,1,Midtown East, Midtown Manhattan
3846,"240 East 27th Street, Apt J","7,025",3 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
3847,26th Street,"6,400",3 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
3848,Water Street,"7,604",3 Bed,3,Financial District, Downtown Manhattan
3849,East 11th Street,"7,250",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3850,West 132nd Street,"2,500",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
3851,"117 East 13th Street, Apt 29","3,100",Studio,1,Greenwich Village, Downtown Manhattan
3852,Fourth Avenue,"5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
3853,East 33rd Street,"4,267",1 Bed,1,Kips Bay, Midtown Manhattan
3854,West 63rd Street,"23,000",3 Bed,3,"Lincoln Square, Upper West Side", Upper Manhattan
3855,East 75th Street,"6,995",2 Bed,2,Upper East Side, Upper Manhattan
3856,East 6th Street,"5,495",3 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3857,West 65th Street,"4,600",2 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3858,"235 West 48th Street, Apt 23K","4,200",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
3859,Broadway,"3,550",Studio,1,Financial District, Downtown Manhattan
3860,East 69th Street,"3,895",Studio,1,Upper East Side, Upper Manhattan
3861,East 86th Street,"6,200",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3862,West 94th Street & Broadway,"4,350",1 Bed,1,Upper West Side, Upper Manhattan
3863,West 38th Street,"4,390",Studio,1,Hudson Yards, Midtown Manhattan
3864,West 37th Street,"5,409",1 Bed,1,Midtown South, Midtown Manhattan
3865,East 24th Street,"3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
3866,Water Street,"3,071",Studio,1,Financial District, Downtown Manhattan
3867,10th Avenue,"4,000","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
3868,Gold Street,"8,150","3 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
3869,Water Street,"7,300","3 Bed
/ Flex 4",3,Financial District, Downtown Manhattan
3870,East 34 Street,"4,095",1 Bed,1,Murray Hill, Midtown Manhattan
3871,East 75th Street,"5,937",3 Bed,2,Upper East Side, Upper Manhattan
3872,West 52nd Street,"4,595",2 Bed,1,Hell's Kitchen, Midtown Manhattan
3873,West 37th Street,"4,390",1 Bed,1,Hudson Yards, Midtown Manhattan
3874,West 13 Street,"3,100",Studio,1,West Village, Downtown Manhattan
3875,Wall Street,"4,500","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3876,West 31st Street,"5,645",1 Bed,1,Midtown South, Midtown Manhattan
3877,East 29th Street,"4,295",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3878,"286 West 11th Street, Apt 4BF","8,990",3 Bed,2,West Village, Downtown Manhattan
3879,Broadway,"7,095",1 Bed,1.5,"Lincoln Square, Upper West Side", Upper Manhattan
3880,West 72nd Street,"2,200",Studio,1,Upper West Side, Upper Manhattan
3881,East 2 Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3882,West 60th Street,"6,000","1 Bed
/ Flex 2",2,"Lincoln Square, Upper West Side", Upper Manhattan
3883,West 24th Street,"5,475",1 Bed,1,Flatiron District, Midtown Manhattan
3884,Murray Street,"7,500",2 Bed,2,Tribeca, Downtown Manhattan
3885,Water Street,"7,471",3 Bed,3,Financial District, Downtown Manhattan
3886,239 Park Avenue South,"7,000",3 Bed,1,Gramercy Park, Midtown Manhattan
3887,Water Street,"3,680",Studio,1,Financial District, Downtown Manhattan
3888,East 93 Street & 2nd Ave,"2,100",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3889,East 97th Street,"1,850",Studio,1,"East Harlem, Harlem", Upper Manhattan
3890,East 39th street Third Avenue ...,"3,650",1 Bed,1,Murray Hill, Midtown Manhattan
3891,East 34th Street,"3,900","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
3892,Fourth Ave,"5,300",1 Bed,1,Greenwich Village, Downtown Manhattan
3893,4th Ave,"5,250",1 Bed,1,Greenwich Village, Downtown Manhattan
3894,West 90th Street,"5,905",2 Bed,2,Upper West Side, Upper Manhattan
3895,East 68 Street,"2,700",Studio,1,Upper East Side, Upper Manhattan
3896,W 87th St,"8,650",3 Bed,2,Upper West Side, Upper Manhattan
3897,East 65 St & York Ave,"3,200",2 Bed,1,Upper East Side, Upper Manhattan
3898,West 91st Street,"2,925",Studio,1,Upper West Side, Upper Manhattan
3899,West 42nd Street,"5,890",2 Bed,2,Hudson Yards, Midtown Manhattan
3900,East 92nd Street,"5,650",2 Bed,2,"Carnegie Hill, Upper East Side", Upper Manhattan
3901,West 21st Street,"7,038",1 Bed,1,Flatiron District, Midtown Manhattan
3902,Copy of Broadway,"4,649",1 Bed,1,Financial District, Downtown Manhattan
3903,West 26th Street,"5,495",1 Bed,1,Chelsea, Midtown Manhattan
3904,West 35th Street,"3,725","1 Bed
/ Flex 2",1,Hell's Kitchen, Midtown Manhattan
3905,East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
3906,Sullivan Street,"2,850",1 Bed,1,SoHo, Downtown Manhattan
3907,East 34th Street,"4,095","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
3908,Pine Street,"6,850","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
3909,East 88th Street,"3,600",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3910,East 18th Street,"6,495",3 Bed,2,Gramercy Park, Midtown Manhattan
3911,East 46th Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3912,"145 Fourth Avenue, Apt 12B","5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
3913,4th Ave,"5,250",1 Bed,1,Greenwich Village, Downtown Manhattan
3914,East 46th Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3915,West 38th Street,"3,990",Studio,1,Hudson Yards, Midtown Manhattan
3916,4th Ave,"5,250",1 Bed,1,Greenwich Village, Downtown Manhattan
3917,East 37 Street,"6,500",2 Bed,2,Murray Hill, Midtown Manhattan
3918,"515 West 111th Street, Apt 4A","2,695",1 Bed,1,"Morningside Heights, West Harlem", Upper Manhattan
3919,East 79 street,"6,500",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
3920,West 91st Street,"2,925",Studio,1,Upper West Side, Upper Manhattan
3921,East 40th street,"6,569","2 Bed
/ Flex 4",2,Murray Hill, Midtown Manhattan
3922,West End Avenue,"4,908",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
3923,West 22nd Street,"4,200",1 Bed,1,Chelsea, Midtown Manhattan
3924,Greenwich str,"6,995","3 Bed
/ Flex 4",2,Tribeca, Downtown Manhattan
3925,East 25th Street,"4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3926,East 63rd Street,"4,500",1 Bed,1,Upper East Side, Upper Manhattan
3927,East 71st Street,"4,000",1 Bed,1,Upper East Side, Upper Manhattan
3928,East 39th Street,"3,400",Studio,1,Murray Hill, Midtown Manhattan
3929,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
3930,West 24th Street,"6,142",1 Bed,1,Flatiron District, Midtown Manhattan
3931,East 37th Street,"4,385",2 Bed,1,Murray Hill, Midtown Manhattan
3932,East 40th Street,"6,929",2 Bed,2,Murray Hill, Midtown Manhattan
3933,First Avenue,"2,252",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
3934,East 47th Street,"3,550",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3935,"Turtle Bay, Midtown East, Manh...","3,000",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3936,Tenth Avenue,"5,087",1 Bed,1,Hudson Yards, Midtown Manhattan
3937,East 46th Street,"2,830",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
3938,Waverly Place,"3,800",1 Bed,1,Greenwich Village, Downtown Manhattan
3939,East 44th Street,"5,895",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3940,West 57th Street,"5,995",2 Bed,2,Hell's Kitchen, Midtown Manhattan
3941,Beaver St,"3,000","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3942,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
3943,E 40th St - Full Amenity Build...,"6,500","2 Bed
/ Flex 4",2,Murray Hill, Midtown Manhattan
3944,East 9th Street,"3,595",1 Bed,1,East Village, Downtown Manhattan
3945,East 79th Street,"7,250",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
3946,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3947,East 9th Street,"3,595",1 Bed,1,East Village, Downtown Manhattan
3948,"East 54th Street, Sutton Place...","5,828",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
3949,East 3rd Street,"7,895",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3950,East 6th Street,"6,395",3 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3951,E.77th St & 1st Avenue,"2,300",Studio,1,Upper East Side, Upper Manhattan
3952,East 50th Street,"3,195",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3953,29th Street,"5,385",1 Bed,1,NoMad, Midtown Manhattan
3954,East 13th Street,"5,295",3 Bed,1.5,East Village, Downtown Manhattan
3955,East 14 Street,"3,350",1 Bed,1,East Village, Downtown Manhattan
3956,Tenth Avenue,"4,700",1 Bed,1,Hudson Yards, Midtown Manhattan
3957,West 37th Street,"4,950",1 Bed,1,Hudson Yards, Midtown Manhattan
3958,West 113th Street,"4,895",1 Bed,1,"Morningside Heights, West Harlem, Harlem", Upper Manhattan
3959,West 62nd Street,"9,754",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
3960,Second Avenue,"4,900",1 Bed,2,East Village, Downtown Manhattan
3961,Rivington Street,"3,375",2 Bed,1,Bowery, Downtown Manhattan
3962,Saint Nicholas Avenue,"5,000",4 Bed,2,"Central Harlem, Harlem", Upper Manhattan
3963,"85 8 Avenue, Apt #2D","4,100",1 Bed,1,Chelsea, Midtown Manhattan
3964,Ridge Street,"3,395",1 Bed,1.5,Lower East Side, Downtown Manhattan
3965,Jones Street,"6,000",1 Bed,2,West Village, Downtown Manhattan
3966,East 5th Street,"7,495",5 Bed,2.5,East Village, Downtown Manhattan
3967,East 90 St & Lexington Ave,"3,500",2 Bed,1,Upper East Side, Upper Manhattan
3968,"25 West 68th Street, Apt 7G","6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
3969,East 56th Street,"4,500",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
3970,Pearl Street,"6,989",2 Bed,2,Financial District, Downtown Manhattan
3971,Tenth Avenue,"3,495",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3972,East 86th Street,"3,750",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3973,East 46th Street,"3,500",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
3974,Thompson Street,"3,895",1 Bed,1,SoHo, Downtown Manhattan
3975,Pine St,"6,065",2 Bed,2,Financial District, Downtown Manhattan
3976,East 25th Street,"3,895",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3977,East 21st Street,"6,100",2 Bed,2,Gramercy Park, Midtown Manhattan
3978,Jones Street,"5,850",2 Bed,1,West Village, Downtown Manhattan
3979,West 73 Street,"3,700",1 Bed,1,Upper West Side, Upper Manhattan
3980,Water Street,"5,363","2 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
3981,East 80th Street 19,"2,650",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3982,West 54th Street,"4,195",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3983,E 83rd Street,"2,246",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3984,West 14th Street,"4,750",2 Bed,1,West Village, Downtown Manhattan
3985,East 89 Street,"3,000",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
3986,East 7th Street,"4,799",2 Bed,1,East Village, Downtown Manhattan
3987,East 65th Street near Third A...,"5,800",1 Bed,1.5,Upper East Side, Upper Manhattan
3988,Gold Street,"4,085","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3989,West 54th Street,"3,550",Studio,1,Hell's Kitchen, Midtown Manhattan
3990,"219 East 28th Street, Apt 1A","3,195",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3991,85 John Street,"2,550",Private Room,2,Financial District, Downtown Manhattan
3992,Avenue B,"3,195",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3993,W 37th Street,"7,271","2 Bed
/ Flex 3",1,Midtown South, Midtown Manhattan
3994,West 58th Street & Broadway,"7,900",3 Bed,2,"Theater District, Midtown", Midtown Manhattan
3995,West 14th Street- 8th Avenue,"5,795",2 Bed,1,West Village, Downtown Manhattan
3996,"240 Waverly Place, Apt 53","5,750",2 Bed,1,West Village, Downtown Manhattan
3997,West 58th Street & Broadway,"7,900",3 Bed,2,"Theater District, Midtown", Midtown Manhattan
3998,East 1 Street,"5,750",3 Bed,2.5,Bowery, Downtown Manhattan
3999,East 44th Street,"5,950",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
4000,West 14 Street,"4,995",1 Bed,1,West Village, Downtown Manhattan
4001,13th St and First Ave,"4,490",2 Bed,1,East Village, Downtown Manhattan
4002,York Avenue,"3,895",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
4003,East 22nd Street,"3,450",Studio,1,Gramercy Park, Midtown Manhattan
4004,"208 West 23rd Street, Apt 315","3,695",Studio,1,Chelsea, Midtown Manhattan
4005,West 60th Street,"9,956",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
4006,Columbus Avenue,"4,098",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
4007,W.75th St & Amsterdam,"4,890",1 Bed,1.5,Upper West Side, Upper Manhattan
4008,Astor Place,"3,500",Studio,1,NoHo, Downtown Manhattan
4009,E 48th ST,"5,250",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
4010,East 23rd Street,"3,150",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
4011,West 38th Street,"5,545",1 Bed,1,Hudson Yards, Midtown Manhattan
